Avvio ascensore: Tue Feb  7 16:33:56 2017

[SALITO] Bambino al piano 0, destinazione 3, tempo dall'avvio 2, Tue Feb  7 16:33:58 2017

[SALITO] Adulto al piano 1, destinazione 0, tempo dall'avvio 11, Tue Feb  7 16:34:07 2017

[SALITO] Bambino al piano 1, destinazione 0, tempo dall'avvio 11, Tue Feb  7 16:34:07 2017

[SALITO] Adulto al piano 1, destinazione 2, tempo dall'avvio 11, Tue Feb  7 16:34:07 2017

[SCESO] Adulto al piano 2, tempo dall'avvio 17, Tue Feb  7 16:34:13 2017

[SALITO] Bambino al piano 2, destinazione 1, tempo dall'avvio 19, Tue Feb  7 16:34:15 2017

[SALITO] Addetto alla consegna al piano 2, destinazione 0, tempo dall'avvio 19, Tue Feb  7 16:34:15 2017

[SCESO] Bambino al piano 3, tempo dall'avvio 25, Tue Feb  7 16:34:21 2017

[SALITO] Bambino al piano 3, destinazione 0, tempo dall'avvio 31, Tue Feb  7 16:34:27 2017

[SCESO] Bambino al piano 1, tempo dall'avvio 46, Tue Feb  7 16:34:42 2017

[SCESO] Adulto al piano 0, tempo dall'avvio 58, Tue Feb  7 16:34:54 2017

[SCESO] Bambino al piano 0, tempo dall'avvio 58, Tue Feb  7 16:34:54 2017

[SCESO] Addetto alla consegna al piano 0, tempo dall'avvio 58, Tue Feb  7 16:34:54 2017

[SCESO] Bambino al piano 0, tempo dall'avvio 58, Tue Feb  7 16:34:54 2017

[SALITO] Adulto al piano 0, destinazione 2, tempo dall'avvio 65, Tue Feb  7 16:35:01 2017

[SALITO] Addetto alla consegna al piano 0, destinazione 1, tempo dall'avvio 65, Tue Feb  7 16:35:01 2017

[SALITO] Bambino al piano 0, destinazione 3, tempo dall'avvio 65, Tue Feb  7 16:35:01 2017

[SALITO] Addetto alla consegna al piano 0, destinazione 2, tempo dall'avvio 65, Tue Feb  7 16:35:01 2017

[SCESO] Addetto alla consegna al piano 1, tempo dall'avvio 71, Tue Feb  7 16:35:07 2017

[SALITO] Addetto alla consegna al piano 1, destinazione 3, tempo dall'avvio 73, Tue Feb  7 16:35:09 2017

[SCESO] Adulto al piano 2, tempo dall'avvio 79, Tue Feb  7 16:35:15 2017

[SCESO] Addetto alla consegna al piano 2, tempo dall'avvio 79, Tue Feb  7 16:35:15 2017

[SALITO] Adulto al piano 2, destinazione 3, tempo dall'avvio 80, Tue Feb  7 16:35:16 2017

[SALITO] Addetto alla consegna al piano 2, destinazione 1, tempo dall'avvio 80, Tue Feb  7 16:35:16 2017

[SCESO] Bambino al piano 3, tempo dall'avvio 86, Tue Feb  7 16:35:22 2017

[SCESO] Addetto alla consegna al piano 3, tempo dall'avvio 86, Tue Feb  7 16:35:22 2017

[SCESO] Adulto al piano 3, tempo dall'avvio 86, Tue Feb  7 16:35:22 2017

[SALITO] Adulto al piano 3, destinazione 2, tempo dall'avvio 89, Tue Feb  7 16:35:25 2017

[SALITO] Addetto alla consegna al piano 3, destinazione 1, tempo dall'avvio 89, Tue Feb  7 16:35:25 2017

[SALITO] Bambino al piano 3, destinazione 0, tempo dall'avvio 89, Tue Feb  7 16:35:25 2017

[SCESO] Adulto al piano 2, tempo dall'avvio 95, Tue Feb  7 16:35:31 2017

[SALITO] Adulto al piano 2, destinazione 0, tempo dall'avvio 104, Tue Feb  7 16:35:40 2017

[SCESO] Addetto alla consegna al piano 1, tempo dall'avvio 110, Tue Feb  7 16:35:46 2017

[SCESO] Addetto alla consegna al piano 1, tempo dall'avvio 110, Tue Feb  7 16:35:46 2017

[SALITO] Adulto al piano 1, destinazione 2, tempo dall'avvio 112, Tue Feb  7 16:35:48 2017

[SALITO] Addetto alla consegna al piano 1, destinazione 3, tempo dall'avvio 112, Tue Feb  7 16:35:48 2017

[SCESO] Bambino al piano 0, tempo dall'avvio 118, Tue Feb  7 16:35:54 2017

